black.py:28:syms = pygram.python_symbols
black.py:29:FileContent = str
black.py:35:LN = Union[Leaf, Node]
black.py:36:out = partial(click.secho, bold=True, err=True)
black.py:37:err = partial(click.secho, fg='red', err=True)
black.py:290:GRAMMARS = [
black.py:332:T = TypeVar('T')
black.py:396:WHITESPACE = {token.DEDENT, token.INDENT, token.NEWLINE}
black.py:398:STATEMENT = {
black.py:408:STANDALONE_COMMENT = 153
black.py:410:COMPARATORS = {
black.py:433:COMPREHENSION_PRIORITY = 20
black.py:434:COMMA_PRIORITY = 10
black.py:1075:BRACKET = {token.LPAR: token.RPAR, token.LSQB: token.RSQB, token.LBRACE: token.RBRACE}
black.py:1076:OPENING_BRACKETS = set(BRACKET.keys())
black.py:1077:CLOSING_BRACKETS = set(BRACKET.values())
black.py:1079:ALWAYS_NO_SPACE = CLOSING_BRACKETS | {token.COMMA, STANDALONE_COMMENT}
black.py:1900:if __name__ == '__main__':
tests/test_black.py:15:ll = 88
tests/test_black.py:17:fs = partial(black.format_str, line_length=ll)
tests/test_black.py:18:THIS_FILE = Path(__file__)
tests/test_black.py:20:EMPTY_LINE = '# EMPTY LINE WITH WHITESPACE' + ' (this comment will be removed)'
tests/test_black.py:328:if __name__ == '__main__':
tests/test_black.py:154:    def test_comments3(self) -> None:
tests/test_black.py:27:def read_data(name: str) -> Tuple[str, str]:
tests/test_black.py:29:    if not name.endswith(('.py', '.out')):
tests/test_black.py:30:        name += '.py'
tests/test_black.py:33:    with open(THIS_DIR / name, 'r', encoding='utf8') as test:
tests/test_black.py:34:        lines = test.readlines()
tests/test_black.py:35:    result = _input
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
tests/test_black.py:38:        if line.rstrip() == '# output':
tests/test_black.py:42:        result.append(line)
tests/test_black.py:36:    for line in lines:
tests/test_black.py:37:        line = line.replace(EMPTY_LINE, '')
